frame,frame,x,y,r,particle,neighbours
6,6,643.5,775.5,52.5,42,"[44, 71, 89, 64]"
6,6,804.5,275.5,55.7,50,"[10, 1, 38, 37, 55]"
6,6,626.5,329.5,51.8,48,"[28, 51, 38, 63, 55, 58]"
6,6,441.5,608.5,45.9,69,"[31, 23, 35, 6, 25]"
6,6,447.5,389.5,51.9,53,"[86, 120, 41, 63, 28, 35]"
6,6,307.5,256.5,48.9,45,"[86, 41, 43, 34, 61, 5]"
6,6,648.5,114.5,55.8,47,"[37, 58]"
6,6,289.5,513.5,49.2,54,"[22, 21, 120, 18, 23, 31]"
6,6,599.5,225.5,54.7,58,"[55, 48, 63, 60, 47]"
6,6,415.5,280.5,54.7,41,"[43, 60, 53, 86, 63, 45]"
6,6,1038.5,194.5,44.3,68,"[67, 14]"
6,6,453.5,784.5,44.5,46,"[97, 71, 25]"
6,6,434.5,80.5,49.1,40,"[60, 43]"
6,6,542.5,597.5,51.3,6,"[35, 69, 29, 64, 87]"
6,6,798.5,646.5,62.4,66,"[91, 44, 56, 13, 65, 89, 87]"
6,6,214.5,334.5,55.5,61,"[34, 21, 86, 45]"
6,6,844.5,95.5,55.7,100,"[67, 37]"
6,6,495.5,201.5,59.1,60,"[43, 41, 40, 63, 58]"
6,6,828.5,376.5,62.4,1,"[10, 50, 38, 12, 30]"
6,6,911.5,309.5,43.6,10,"[1, 50, 12]"
6,6,946.5,124.5,61.3,67,"[14, 68, 100]"
6,6,288.5,160.5,56.9,5,"[45, 43, 83, 34]"
6,6,706.5,252.5,59.1,55,"[38, 48, 37, 50, 58]"
6,6,771.5,175.5,43.6,37,"[50, 100, 47, 55]"
6,6,900.5,685.5,52.5,56,"[91, 66, 75, 98, 13]"
6,6,764.5,520.5,54.7,65,"[30, 51, 13, 66, 87]"
6,6,390.5,176.5,52.1,43,"[60, 41, 40, 45, 5]"
6,6,585.5,680.5,46.8,64,"[6, 71, 87, 89, 42]"
7,7,185.5,222.5,60.2,126,"[61, 45, 5]"
7,7,957.5,229.5,43.6,127,"[52, 10, 68, 67]"
7,7,593.5,231.5,62.4,58,"[60, 49, 63, 48, 47, 55]"
7,7,911.5,307.5,45.5,10,"[50, 52, 12, 1, 127]"
7,7,1036.5,96.5,49.9,14,"[67, 68]"
7,7,520.5,307.5,58.0,63,"[58, 48, 60, 41, 53, 28]"
7,7,729.5,354.5,62.4,38,"[1, 50, 51, 48, 55]"
7,7,236.5,614.5,53.5,18,"[22, 54, 31]"
7,7,1020.5,500.5,51.1,8,"[108, 7, 39]"
7,7,879.5,191.5,45.8,52,"[50, 10, 37, 127, 100, 67]"
